Sample	BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
NA12878-NA12878-1-CEN-F-EGG5	targets	685969.0	1.0	2970325331.0	1535677233.0	3716734027.0	0.547993	0.452007	0.659193	4330.115983	0.35692	0.139427	1652.192278	11333392.0	6.058662	6.080119	6.098001	6.112306	6.133764	6.228177	685969.0	3137454505.0	57516900.0	57516900.0	8322096533.0	36609516.0	36518384.0	8222736591.0	5227935903.0	1160324992.0	1.0	0.6365	0.997511	1691.512287	1684.0	3391.0	0.0	0.000288	0.36421	0.0	0.044583	0.012238	0.107893	0.329996	1.341405	0.999803	0.999783	0.999566	0.999445	0.999357	0.999277	0.999192	0.998996	9.474784	0.308424	0.071756	0.0			
X222694-GM2219633-1-CEN-F-EGG5	targets	685969.0	1.0	1324452001.0	732762963.0	1807305888.0	0.532334	0.467666	0.643808	1930.775299	0.33865	0.178091	1567.521535	9423967.0	5.226569	5.235781	5.251136	5.272632	5.2929	5.381342	685969.0	3137454505.0	26753682.0	26753682.0	3910973170.0	20169783.0	20127815.0	3864520852.0	2913326287.0	696508239.0	1.0	0.753907	0.997919	1015.364016	1020.0	3434.0	0.0	0.000403	0.246135	0.0	0.052716	0.015893	0.120594	0.384465	1.244319	0.999609	0.999452	0.999251	0.999108	0.998952	0.998866	0.998806	0.998446	5.193946	0.69581	0.428499	2.0			
X222704-GM2219963-1-CEN-M-EGG5	targets	685969.0	1.0	1978965121.0	1052690873.0	2653610340.0	0.533248	0.466752	0.652767	2884.919174	0.344118	0.169886	1592.063085	12046964.0	5.513188	5.526892	5.538312	5.561152	5.569374	5.646116	685969.0	3137454505.0	39571312.0	39571312.0	5750834055.0	28634593.0	28577202.0	5685266334.0	4114083859.0	976988083.0	1.0	0.72362	0.997996	1424.24524	1463.0	3895.0	0.0	0.000346	0.27636	0.0	0.049218	0.014042	0.121216	0.367354	1.305449	0.999239	0.999102	0.998824	0.998573	0.998455	0.998414	0.998389	0.998189	6.49702	0.785869	0.141992	1.0			
X222706-GM2219596-1-CEN-M-EGG5	targets	685969.0	1.0	1616417545.0	874508379.0	2217597808.0	0.529025	0.470975	0.648922	2356.400282	0.339186	0.170551	1570.152154	10369752.0	5.468485	5.491278	5.510272	5.525468	5.534585	5.625757	685969.0	3137454505.0	32799082.0	32799082.0	4765573352.0	24242557.0	24190492.0	4708523732.0	3480194926.0	812773741.0	1.0	0.739123	0.997852	1184.854915	1223.0	3312.0	0.0	0.00048	0.260873	0.0	0.04751	0.015063	0.123405	0.380568	1.274038	0.999608	0.999541	0.999211	0.999114	0.99902	0.998926	0.998844	0.998617	5.280518	0.858747	0.236266	1.0			
X222707-GM2220314-1-CEN-F-EGG5	targets	685969.0	1.0	1686813577.0	730538817.0	3627449458.0	0.399906	0.600094	0.697794	2459.023042	0.272923	0.05036	1276.315272	2197641.0	41.852292	44.16607	46.781645	49.900216	53.622381	112.452706	685969.0	3137454505.0	42566898.0	42566898.0	6180553590.0	21952064.0	21824845.0	6044801852.0	3148089416.0	311254622.0	1.0	0.515707	0.994205	453.744443	212.0	12939.0	0.0	0.000134	0.479207	0.0	0.090487	0.013139	0.062561	0.303146	3.945604	0.999808	0.999786	0.999519	0.999423	0.999258	0.999143	0.998946	0.894176	31.834069	7.792723	0.868824	9.0			
X222708-GM2220383-1-CEN-F-EGG5	targets	685969.0	1.0	1431734703.0	757976798.0	1923664570.0	0.532339	0.467661	0.653846	2087.171145	0.344097	0.182119	1591.978073	10712677.0	5.526889	5.536688	5.562819	5.575885	5.591563	5.685635	685969.0	3137454505.0	28748922.0	28748922.0	4160842481.0	22042357.0	22000570.0	4113376071.0	3154771842.0	757768893.0	1.0	0.766719	0.998104	1104.669297	1078.0	2936.0	0.0	0.000384	0.233046	0.0	0.05306	0.015555	0.13078	0.383372	1.322957	0.999797	0.999776	0.999447	0.999353	0.999265	0.999147	0.999061	0.998808	7.701464	0.597851	0.365533	2.0			
X222709-GM2219513-1-CEN-F-EGG5	targets	685969.0	1.0	1774327566.0	955791899.0	2393595050.0	0.53284	0.46716	0.649908	2586.60022	0.342132	0.162524	1583.878354	10055737.0	5.350803	5.369708	5.380212	5.401218	5.413822	5.504569	685969.0	3137454505.0	35779792.0	35779792.0	5186096647.0	25640407.0	25578264.0	5123714515.0	3671382207.0	842867537.0	1.0	0.716617	0.997576	1228.725405	1241.0	2595.0	0.0	0.000519	0.283453	0.0	0.05006	0.015509	0.120926	0.365587	1.22505	0.999787	0.999754	0.999382	0.999195	0.999101	0.999035	0.998993	0.998777	4.549812	0.704215	0.175691	1.0			
X222711-GM2220350-1-CEN-F-EGG5	targets	685969.0	1.0	1753187995.0	934128348.0	2445660118.0	0.52354	0.47646	0.652394	2555.783126	0.337388	0.158685	1562.183919	9718314.0	5.527952	5.540617	5.561726	5.578613	5.598877	5.690067	685969.0	3137454505.0	35871224.0	35871224.0	5196354233.0	25591374.0	25527968.0	5132976461.0	3662046544.0	824581305.0	1.0	0.713423	0.997522	1202.067885	1206.0	3706.0	0.0	0.000288	0.286565	0.0	0.052287	0.015239	0.121384	0.363916	1.240524	0.999812	0.999786	0.999424	0.999353	0.999229	0.999105	0.999076	0.998755	5.15768	0.596024	0.207367	1.0			
X222712-GM2220408-1-CEN-F-EGG5	targets	685969.0	1.0	2416139330.0	1282539548.0	3104104063.0	0.543701	0.456299	0.653244	3522.228162	0.351051	0.149709	1624.45733	10860539.0	5.322139	5.330799	5.348119	5.36544	5.38276	5.458968	685969.0	3137454505.0	47601750.0	47601750.0	6882587542.0	31943541.0	31870083.0	6802782941.0	4564545539.0	1030387185.0	1.0	0.671058	0.9977	1502.090014	1530.0	2595.0	0.0	0.000327	0.329018	0.0	0.042678	0.012539	0.11505	0.349283	1.197839	0.999891	0.999786	0.999491	0.999294	0.999217	0.999169	0.99909	0.998937	3.375178	0.710179	0.043216	0.0			
X222719-GM2219450-1-CEN-M-EGG5	targets	685969.0	1.0	1129329513.0	609086559.0	1570175064.0	0.525425	0.474575	0.649631	1646.327331	0.337431	0.178585	1561.171172	8363188.0	5.442867	5.458611	5.479603	5.505843	5.521587	5.634945	685969.0	3137454505.0	23055732.0	23055732.0	3346844807.0	17577936.0	17545260.0	3308591136.0	2523694021.0	597696941.0	1.0	0.762411	0.998141	871.317714	899.0	2278.0	0.0	0.000538	0.23723	0.0	0.048924	0.014968	0.129441	0.388824	1.283237	0.99995	0.999844	0.999373	0.999114	0.999032	0.998965	0.99892	0.998449	5.299978	0.879251	0.658016	5.0			
